rank,Bottleneck 8,Bottleneck 16,Bottleneck 24,Bottleneck 32,Bottleneck 64
"(5, 5, 5)",0.46,0.44,0.7,0.6,0.78
"(5, 5, 16)",0.42,0.6,0.66,0.6,0.68
"(5, 5, 32)",0.44,0.46,0.76,0.54,0.5
"(5, 5, 64)",0.44,0.5,0.68,0.58,0.68
"(5, 16, 5)",0.44,0.4,0.68,0.74,0.56
"(5, 16, 16)",0.44,0.46,0.46,0.56,0.6
"(5, 16, 32)",0.4,0.46,0.4,0.54,0.54
"(5, 16, 64)",0.42,0.4,0.66,0.44,0.62
"(5, 32, 5)",0.54,0.6,0.4,0.42,0.64
"(5, 32, 16)",0.4,0.4,0.4,0.44,0.6
"(5, 32, 32)",0.4,0.42,0.42,0.4,0.54
"(5, 32, 64)",0.4,0.42,0.4,0.4,0.64
"(5, 64, 5)",0.42,0.54,0.44,0.58,0.52
"(5, 64, 16)",0.48,0.46,0.54,0.44,0.54
"(5, 64, 32)",0.5,0.46,0.48,0.44,0.62
"(5, 64, 64)",0.44,0.52,0.48,0.46,0.5
"(16, 5, 5)",0.4,0.4,0.56,0.54,0.54
"(16, 5, 16)",0.38,0.4,0.5,0.62,0.5
"(16, 5, 32)",0.4,0.66,0.42,0.54,0.62
"(16, 5, 64)",0.42,0.4,0.52,0.72,0.56
"(16, 16, 5)",0.46,0.42,0.42,0.42,0.52
"(16, 16, 16)",0.4,0.42,0.4,0.56,0.54
"(16, 16, 32)",0.44,0.5,0.5,0.42,0.54
"(16, 16, 64)",0.44,0.42,0.42,0.42,0.56
"(16, 32, 5)",0.48,0.42,0.4,0.52,0.64
"(16, 32, 16)",0.44,0.42,0.42,0.54,0.62
"(16, 32, 32)",0.42,0.5,0.44,0.44,0.56
"(16, 32, 64)",0.44,0.56,0.4,0.46,0.54
"(16, 64, 5)",0.54,0.58,0.54,0.56,0.48
"(16, 64, 16)",0.54,0.56,0.56,0.54,0.58
"(16, 64, 32)",0.54,0.54,0.54,0.54,0.54
"(16, 64, 64)",0.54,0.56,0.54,0.54,0.54
"(32, 5, 5)",0.42,0.4,0.52,0.4,0.58
"(32, 5, 16)",0.42,0.56,0.52,0.58,0.5
"(32, 5, 32)",0.4,0.42,0.42,0.62,0.64
"(32, 5, 64)",0.42,0.42,0.4,0.6,0.6
"(32, 16, 5)",0.46,0.42,0.44,0.44,0.62
"(32, 16, 16)",0.4,0.4,0.58,0.42,0.7
"(32, 16, 32)",0.42,0.42,0.4,0.42,0.6
"(32, 16, 64)",0.42,0.46,0.6,0.6,0.6
"(32, 32, 5)",0.54,0.68,0.52,0.58,0.58
"(32, 32, 16)",0.52,0.5,0.46,0.58,0.56
"(32, 32, 32)",0.52,0.54,0.52,0.48,0.44
"(32, 32, 64)",0.44,0.52,0.48,0.5,0.64
"(32, 64, 5)",0.58,0.6,0.6,0.42,0.58
"(32, 64, 16)",0.58,0.6,0.6,0.6,0.52
"(32, 64, 32)",0.6,0.6,0.6,0.6,0.56
"(32, 64, 64)",0.6,0.6,0.42,0.44,0.42
"(64, 5, 5)",0.5,0.46,0.44,0.48,0.54
"(64, 5, 16)",0.46,0.48,0.44,0.4,0.52
"(64, 5, 32)",0.5,0.44,0.42,0.62,0.56
"(64, 5, 64)",0.46,0.44,0.44,0.44,0.42
"(64, 16, 5)",0.52,0.54,0.48,0.52,0.56
"(64, 16, 16)",0.5,0.52,0.5,0.5,0.46
"(64, 16, 32)",0.52,0.5,0.52,0.5,0.5
"(64, 16, 64)",0.54,0.54,0.52,0.54,0.54
"(64, 32, 5)",0.54,0.54,0.58,0.46,0.54
"(64, 32, 16)",0.56,0.58,0.6,0.56,0.58
"(64, 32, 32)",0.56,0.56,0.56,0.58,0.56
"(64, 32, 64)",0.58,0.58,0.58,0.56,0.42
"(64, 64, 5)",0.6,0.6,0.6,0.36,0.6
"(64, 64, 16)",0.6,0.6,0.6,0.6,0.44
"(64, 64, 32)",0.6,0.6,0.6,0.6,0.6
"(64, 64, 64)",0.6,0.6,0.6,0.6,0.46
